"party","year","support"
1,1971,0.40909090909
2,1971,0.20303030303
3,1971,0.16363636364
8,1971,0.22424242424
9,1971,0
16,1971,0
1,1975,0.14421252372
2,1975,0.75142314991
3,1975,0.056925996205
4,1975,0.047438330171
8,1975,0
9,1975,0
16,1975,0
1,1979,0.18167456556
2,1979,0.73775671406
3,1979,0.080568720379
9,1979,0
16,1979,0
8,1979,0
1,1983,0.14398422091
2,1983,0.67258382643
3,1983,0.049309664694
4,1983,0.13412228797
8,1983,0
9,1983,0
16,1983,0
1,1987,0.092970521542
2,1987,0.74376417234
3,1987,0.024943310658
4,1987,0.077097505669
8,1987,0.045351473923
9,1987,0
16,1987,0.015873015873
1,1991,0.20366598778
2,1991,0.49898167006
3,1991,0.040733197556
4,1991,0.13645621181
8,1991,0.12016293279
9,1991,0
16,1991,0
1,1995,0.19019607843
2,1995,0.40588235294
3,1995,0.060784313725
4,1995,0.27058823529
8,1995,0.003921568627
9,1995,0
16,1995,0.068627450981
1,1999,0.11587301587
2,1999,0.31428571429
3,1999,0.055555555556
4,1999,0.50952380952
8,1999,0.004761904762
9,1999,0
16,1999,0
1,2003,0.13240418118
2,2003,0.21341463415
3,2003,0.10191637631
4,2003,0.55226480836
8,2003,0
9,2003,0
16,2003,0
1,2007,0.072058823529
2,2007,0.19117647059
3,2007,0.086029411765
4,2007,0.62132352941
7,2007,0.005882352941
8,2007,0
9,2007,0
13,2007,0.023529411765
16,2007,0
1,2011,0.072142857143
2,2011,0.25785714286
3,2011,0.16428571429
4,2011,0.47
7,2011,0.005714285714
8,2011,0.009285714286
9,2011,0
13,2011,0.014285714286
16,2011,0
32,2011,0.006428571429
