"municipality","party","year","support"
1,4,1971,0.44129407488
1,4,1975,0.42709937226
1,4,1979,0.39347931873
1,4,1983,0.33014560179
1,4,1987,0.28874284503
1,4,1991,0.27834665335
1,4,1995,0.28265825004
1,4,1999,0.29690585912
1,4,2003,0.33028759736
1,4,2007,0.32705486651
1,4,2011,0.28651487244
2,4,1971,0.19633653282
2,3,1975,0.17890626187
2,3,1979,0.22323281754
2,3,1983,0.21225736096
2,4,1987,0.24157646267
2,4,1991,0.33121462778
2,4,1995,0.31010700092
2,4,1999,0.37350199734
2,4,2003,0.37233779827
2,4,2007,0.3747822771
2,4,2011,0.31894235107
3,4,1971,0.27045075125
3,4,1975,0.26955590622
3,4,1979,0.29087096198
3,1,1983,0.23995379658
3,4,1987,0.22290846324
3,4,1991,0.26391907483
3,3,1995,0.28305672077
3,4,1999,0.32909369077
3,4,2003,0.319528813
3,4,2007,0.30572679944
3,4,2011,0.27095381177
4,4,1971,0.42257662597
4,4,1975,0.41144771337
4,4,1979,0.37130379401
4,4,1983,0.33059271993
4,4,1987,0.27782888684
4,4,1991,0.30605103431
4,4,1995,0.33034679365
4,4,1999,0.39623548032
4,4,2003,0.38115142395
4,4,2007,0.39319577442
4,4,2011,0.33535401373
5,4,1971,0.22373193033
5,4,1975,0.21067495058
5,3,1979,0.27188838844
5,4,1983,0.24591413732
5,4,1987,0.2741097356
5,4,1991,0.32920353982
5,4,1995,0.31137992832
5,4,1999,0.34753327103
5,4,2003,0.32021741699
5,4,2007,0.34013524454
5,4,2011,0.31438427714
6,4,1971,0.64913203577
6,4,1975,0.67721186663
6,4,1979,0.61887098644
6,4,1983,0.49798837729
6,4,1987,0.45467822912
6,4,1991,0.42526910182
6,4,1995,0.5161410711
6,4,1999,0.54771608083
6,4,2003,0.52949296034
6,4,2007,0.54656122268
6,4,2011,0.46592859595
7,4,1971,0.39105354811
7,4,1975,0.33163925337
7,4,1979,0.39163907285
7,4,1983,0.39660775145
7,4,1987,0.34599065085
7,4,1991,0.41240655896
7,4,1995,0.36172212822
7,4,1999,0.39559274099
7,4,2003,0.35145566828
7,4,2007,0.36189740122
7,4,2011,0.32077477811
8,4,1971,0.65336277174
8,4,1975,0.65903307888
8,4,1979,0.62075817793
8,4,1983,0.48423617082
8,4,1987,0.47615688488
8,4,1991,0.54577649528
8,4,1995,0.54232241599
8,4,1999,0.50359824781
8,4,2003,0.46478693544
8,4,2007,0.45033801352
8,4,2011,0.37819290888
9,4,1971,0.45755924943
9,4,1975,0.40945976239
9,4,1979,0.42600855605
9,4,1983,0.33545174605
9,4,1987,0.29393676575
9,4,1991,0.33728656519
9,4,1995,0.33571390644
9,4,1999,0.3387341652
9,4,2003,0.3456228223
9,4,2007,0.35084795971
9,4,2011,0.30646200086
10,4,1971,0.30340672815
10,4,1975,0.24087664622
10,4,1979,0.2332432668
10,4,1983,0.21481831371
10,1,1987,0.21011456533
10,4,1991,0.25788900979
10,4,1995,0.30206681767
10,4,1999,0.34953187695
10,4,2003,0.36683532074
10,4,2007,0.37986715985
10,4,2011,0.31974339836
11,4,1971,0.3964492015
11,4,1975,0.26677821156
11,1,1979,0.29572649573
11,1,1983,0.2700729927
11,1,1987,0.34135568776
11,1,1991,0.29334454038
11,1,1995,0.263529886912
11,4,1999,0.33461703038
11,4,2003,0.33416775376
11,4,2007,0.34113621222
11,4,2011,0.30860585696
12,4,1971,0.51267084282
12,4,1975,0.45310894142
12,4,1979,0.43636560069
12,4,1983,0.40097747556
12,4,1987,0.38922479921
12,4,1991,0.33927946835
12,4,1995,0.35152296855
12,4,1999,0.35443703964
12,4,2003,0.32825608862
12,4,2007,0.32749946858
12,4,2011,0.28465467777
13,4,1971,0.33523809524
13,4,1975,0.27600964905
13,1,1979,0.33910233393
13,4,1983,0.30688399307
13,4,1987,0.27379543163
13,4,1991,0.28327631933
13,4,1995,0.28930914705
13,4,1999,0.38236722798
13,4,2003,0.37837755227
13,4,2007,0.39820718726
13,4,2011,0.33491502695
14,1,1971,0.37414901214
14,1,1975,0.34757236228
14,1,1979,0.41085894503
14,1,1983,0.36243044515
14,1,1987,0.29222453968
14,1,1991,0.27545857711
14,1,1995,0.291000509757
14,4,1999,0.35998342999
14,4,2003,0.36755958322
14,4,2007,0.35135908441
14,4,2011,0.29462764358
21,4,1971,0.75194152581
21,4,1975,0.69568197395
21,4,1979,0.74705443699
21,4,1983,0.61298141664
21,4,1987,0.63028584928
21,4,1991,0.62020609795
21,4,1995,0.61198146514
21,4,1999,0.69214542747
21,4,2003,0.60804084237
21,4,2007,0.53028650739
21,4,2011,0.55711243134
22,4,1971,0.63118519491
22,4,1975,0.55860975287
22,4,1979,0.52587396504
22,4,1983,0.40460462405
22,4,1987,0.47849363116
22,4,1991,0.46067611019
22,4,1995,0.51320949432
22,4,1999,0.51775523145
22,4,2003,0.48202983725
22,4,2007,0.55483158476
22,4,2011,0.47388494544
23,4,1971,0.65094503208
23,4,1975,0.69238683128
23,4,1979,0.61801148383
23,4,1983,0.45818181818
23,4,1987,0.54196089082
23,4,1991,0.45045600197
23,4,1995,0.5468691647
23,4,1999,0.58990460089
23,4,2003,0.55995626291
23,4,2007,0.52293480569
23,4,2011,0.51231474571
24,4,1971,0.73591549296
24,4,1975,0.75112792898
24,4,1979,0.71781472684
24,4,1983,0.5954359769
24,4,1987,0.58626799557
24,4,1991,0.51029930579
24,4,1995,0.52683261018
24,4,1999,0.5476391231
24,4,2003,0.51675066706
24,4,2007,0.46842422676
24,4,2011,0.49524356241
25,4,1971,0.25523349436
25,3,1975,0.26069900143
25,3,1979,0.28381223681
25,3,1983,0.25218589053
25,4,1987,0.20682110682
25,4,1991,0.21657917226
25,4,1995,0.26878251136
25,4,1999,0.33327322996
25,4,2003,0.33236726177
25,4,2007,0.35161244495
25,4,2011,0.29358487024
26,4,1971,0.75120192308
26,4,1975,0.65934320074
26,4,1979,0.61348314607
26,4,1983,0.57016274864
26,4,1987,0.53500784929
26,4,1991,0.54126010594
26,4,1995,0.52072202166
26,4,1999,0.59368972169
26,4,2003,0.55585536967
26,4,2007,0.55502762431
26,4,2011,0.50361741263
27,3,1971,0.3007458784
27,3,1975,0.30236121752
27,3,1979,0.33020836897
27,3,1983,0.29670861568
27,3,1987,0.23103854942
27,3,1991,0.25450219619
27,4,1995,0.28092209213
27,4,1999,0.35348494764
27,4,2003,0.33601075952
27,4,2007,0.37398122037
27,4,2011,0.32751932156
28,4,1971,0.61781541598
28,4,1975,0.63198049394
28,4,1979,0.570008285
28,4,1983,0.50840632947
28,4,1987,0.47485522706
28,4,1991,0.49581728854
28,4,1995,0.57536122715
28,4,1999,0.61341875528
28,4,2003,0.59258769027
28,4,2007,0.5829933927
28,4,2011,0.52691298894
29,3,1971,0.37458221244
29,3,1975,0.31697356697
29,3,1979,0.32585717969
29,1,1983,0.24328294265
29,1,1987,0.19754866619
29,1,1991,0.23229206839
29,3,1995,0.26777970512
29,3,1999,0.31938138479
29,3,2003,0.32954350683
29,4,2007,0.29185022026
29,4,2011,0.26436412316
30,4,1971,0.41969307025
30,4,1975,0.37775290958
30,4,1979,0.35228941396
30,4,1983,0.2958986472
30,4,1987,0.33463147864
30,4,1991,0.34296919221
30,4,1995,0.3484026522
30,4,1999,0.42923549057
30,4,2003,0.40346261563
30,4,2007,0.39809706564
30,4,2011,0.35973499088
31,4,1971,0.40838171263
31,4,1975,0.33214135465
31,4,1979,0.40090546659
31,4,1983,0.29759728389
31,4,1987,0.30108043217
31,4,1991,0.2954405105
31,4,1995,0.3709181602
31,4,1999,0.45630252101
31,4,2003,0.45977229602
31,4,2007,0.45755472504
31,4,2011,0.39792936763
32,4,1971,0.68460111317
32,4,1975,0.47826086957
32,4,1979,0.53018910914
32,4,1983,0.39525438221
32,4,1987,0.5580952381
32,4,1991,0.5240502451
32,4,1995,0.54750261963
32,4,1999,0.54761904762
32,4,2003,0.55352817697
32,4,2007,0.53607941917
32,4,2011,0.54007606705
33,4,1971,0.54850922858
33,4,1975,0.4891509704
33,4,1979,0.49058984911
33,4,1983,0.37211538462
33,4,1987,0.45849344877
33,4,1991,0.41021209007
33,4,1995,0.43046084847
33,4,1999,0.44197937044
33,4,2003,0.44423927513
33,4,2007,0.44857776002
33,4,2011,0.37173765035
34,4,1971,0.31465798046
34,4,1975,0.26188327316
34,4,1979,0.31778006166
34,4,1983,0.23776051301
34,4,1987,0.29228393296
34,4,1991,0.28816946443
34,4,1995,0.34356945491
34,4,1999,0.42489245437
34,4,2003,0.46855895197
34,4,2007,0.44370666927
34,4,2011,0.35116511493
35,4,1971,0.52763318197
35,4,1975,0.48121609857
35,4,1979,0.48698029955
35,4,1983,0.34061554713
35,4,1987,0.41189628412
35,4,1991,0.46820339563
35,4,1995,0.51446674642
35,4,1999,0.55846565412
35,4,2003,0.52022930672
35,4,2007,0.5429158563
35,4,2011,0.48470873786
36,4,1971,0.68044437183
36,4,1975,0.56272461346
36,4,1979,0.55308850645
36,4,1983,0.46193021063
36,4,1987,0.4697566773
36,4,1991,0.46907985314
36,4,1995,0.51343576332
36,4,1999,0.5356839937
36,4,2003,0.46465354165
36,4,2007,0.41121837957
36,4,2011,0.37738873135
37,4,1971,0.57675194661
37,4,1975,0.52982100642
37,4,1979,0.52851711027
37,4,1983,0.48628367573
37,4,1987,0.48275862069
37,4,1991,0.47233190272
37,4,1995,0.49240752758
37,4,1999,0.5181386626
37,4,2003,0.51365687111
37,4,2007,0.48818779154
37,4,2011,0.41398601399
38,3,1971,0.34367209693
38,3,1975,0.34029539983
38,3,1979,0.37582329852
38,3,1983,0.35831622177
38,3,1987,0.3380780626
38,3,1991,0.28435651929
38,4,1995,0.2858137915
38,4,1999,0.34693719507
38,3,2003,0.31280443051
38,4,2007,0.28392741793
38,4,2011,0.29103448276
39,4,1971,0.7556346382
