"municipality","party","year","support"
5401,13,1975,0.004055291501
5402,13,1975,0.005680904657
5403,13,1975,0.002976190476
5405,13,1975,0.002633559067
5406,13,1975,0.003018867925
5407,13,1975,0.009097472924
5408,13,1975,0.00045620438
5409,13,1975,0.006696855667
5410,13,1975,0.014930437733
5411,13,1975,0.001842186061
5413,13,1975,0.002152521525
5414,13,1975,0.008818027968
5415,13,1975,0.001388888889
5421,13,1975,0.0038585209
5422,13,1975,0.005005118872
5423,13,1975,0.002427184466
5424,13,1975,0.002976190476
5425,13,1975,0.00558014239
5426,13,1975,0.00406504065
5427,13,1975,0.004198740378
5428,13,1975,0.001152405647
5429,13,1975,0.001223990208
5432,13,1975,0.003086419753
5434,13,1975,0.01050558109
5435,13,1975,0.01203113942
5437,13,1975,0.002057613169
5451,13,1975,0.008559046587
5456,13,1975,0.00435097897
5458,13,1975,0.003965631196
5464,13,1975,0.004997144489
5472,13,1975,0.007490636704
5473,13,1975,0.004120879121
5474,13,1975,0.00234741784
5477,13,1975,0.017731682837
5478,13,1975,0.002570694087
5479,13,1975,0.00049382716
5480,13,1975,0.017467248908
5482,13,1975,0.019578313253
5484,13,1975,0.011904761905
5485,13,1975,0.027689873418
5486,13,1975,0.002106741573
5489,13,1975,0.038503850385
5490,13,1975,0.036203522505
5491,13,1975,0.002686366689
5492,13,1975,0.000838926174
5494,13,1975,0.023493975904
5495,13,1975,0.00321352059
5496,13,1975,0.028358208955
5497,13,1975,0.009166666667
5498,13,1975,0.009301442673
5499,13,1975,0.038901601831
5500,13,1975,0.001302083333
5501,13,1975,0.007712082262
5503,13,1975,0.017734784361
5511,13,1975,0.010197368421
5512,13,1975,0.01163831692
5514,13,1975,0.013029315961
5515,13,1975,0.007971014493
5516,13,1975,0.0146876659
5518,13,1975,0.00776604781
5520,13,1975,0.00399113082
5521,13,1975,0.024144869215
5522,13,1975,0.009081196581
5523,13,1975,0.013743218807
5527,13,1975,0.012949640288
5530,13,1975,0.014234875445
5531,13,1975,0.00325732899
5533,13,1975,0.001136363636
5535,13,1975,0.009914077991
5537,13,1975,0.012279355334
5539,13,1975,0.010152284264
5540,13,1975,0.018545775684
5541,13,1975,0.002388535032
5551,13,1975,0.002311248074
5553,13,1975,0.000498256104
5554,13,1975,0.013356164384
5555,13,1975,0.000819000819
5556,13,1975,0.016949152542
5559,13,1975,0.004081632653
5561,13,1975,0.008098296565
5563,13,1975,0.042613636364
5565,13,1975,0.017578125
5566,13,1975,0.020089285714
5568,13,1975,0.011001964637
5571,13,1975,0.008320726172
5581,13,1975,0.021245059289
5582,13,1975,0.020307211664
5583,13,1975,0.02011814057
5584,13,1975,0.014712912307
5585,13,1975,0.003008165019
5586,13,1975,0.011329857599
5587,13,1975,0.010563904181
5588,13,1975,0.004663363451
5589,13,1975,0.010345276308
5590,13,1975,0.009891849116
5591,13,1975,0.017372091138
5592,13,1975,0.002891740466
5601,13,1975,0.010807736064
5604,13,1975,0.003462321792
5606,13,1975,0.012391313479
5607,13,1975,0.005832712832
5609,13,1975,0.005306603774
5610,13,1975,0.009384775808
5611,13,1975,0.008474576271
5613,13,1975,0.012540841822
5622,13,1975,0.003184713376
5623,13,1975,0.010326086957
5624,13,1975,0.011111928766
5625,13,1975,0.006837606838
5627,13,1975,0.013290802764
5628,13,1975,0.0025
5631,13,1975,0.004261363636
5632,13,1975,0.027583527584
5633,13,1975,0.017495711835
5634,13,1975,0.008169650617
5635,13,1975,0.016952688957
5636,13,1975,0.007332402235
