"party","year","support"
1,1971,0.26365130848
2,1971,0.007953081264
3,1971,0.33034167148
4,1971,0.2068689741
7,1971,0.091571511085
8,1971,0.057848669303
9,1971,0
16,1971,0.041764784289
1,1975,0.28765740652
2,1975,0.008218783043
3,1975,0.29082956839
4,1975,0.20311448621
7,1975,0.059357877535
8,1975,0.069595309045
9,1975,0.008074593867
16,1975,0.073151975391
1,1979,0.27502644485
2,1979,0.008606596788
3,1979,0.29017213194
4,1979,0.23237811328
7,1979,0.05630349072
9,1979,0.022598326762
16,1979,0.066112126166
8,1979,0.048802769498
1,1983,0.22557172557
2,1983,0.013513513514
3,1983,0.30397409244
4,1983,0.22457220534
7,1983,0.031984647369
8,1983,0.096913481529
9,1983,0.031504877658
16,1983,0.071965456581
1,1987,0.2476238753
2,1987,0.010011405399
3,1987,0.21167574874
4,1987,0.20909897351
7,1987,0.026908292147
8,1987,0.066447007139
9,1987,0.023064250412
13,1987,0.1104211549
16,1987,0.094749292443
1,1991,0.24995228461
2,1991,0.010840935985
3,1991,0.19731266939
4,1991,0.21697140894
7,1991,0.014085582319
8,1991,0.037065312821
9,1991,0.003168301714
13,1991,0.1058899874
16,1991,0.164713516815
1,1995,0.25685630603
2,1995,0.010694949854
3,1995,0.23985976746
4,1995,0.19841128961
7,1995,0.01788408627
8,1995,0.023963788053
9,1995,0.018150350581
13,1995,0.079568651815
16,1995,0.154610810331
1,1999,0.27402103774
2,1999,0.010739856802
3,1999,0.24034296827
4,1999,0.24144789181
7,1999,0.021568107487
8,1999,0.018341730753
9,1999,0
13,1999,0.09617254486
16,1999,0.097365862282
1,2003,0.22161366795
2,2003,0.026976211886
3,2003,0.24021090493
4,2003,0.3111665168
7,2003,0.031145262814
8,2003,0.011934930107
9,2003,0
13,2003,0.091146897736
16,2003,0.065805607783
1,2007,0.21164957388
2,2007,0.05239780442
3,2007,0.17463527373
4,2007,0.33590928788
7,2007,0.0301170013
8,2007,0.011447349415
9,2007,0
13,2007,0.14834609273
16,2007,0.035497616641
1,2011,0.16812885079
2,2011,0.017546209483
3,2011,0.13826011251
4,2011,0.27571658184
7,2011,0.025415215644
8,2011,0.023874899545
9,2011,0.003013661934
13,2011,0.090979105277
16,2011,0.020024109296
31,2011,0.06951513528
32,2011,0.1675261184
