"party","year","support"
16,1971,0.0745265740308271
9,1971,0.0293286893375178
8,1971,0.0917233614886527
7,1971,0.0214716248422829
4,1971,0.110668713115215
3,1971,0.228996359316151
2,1971,0.203
1,1971,0.239939306899067
16,1975,0.057836874174323
13,1975,0.000645050157320887
9,1975,0.0371122713313031
8,1975,0.0791601021007971
7,1975,0.0196539045082422
4,1975,0.0994376933843496
3,1975,0.248731197676515
2,1975,0.210877465069482
1,1975,0.246545441597667
16,1979,0.0220764734088463
13,1979,0.00631849998392539
9,1979,0.0440204373020936
8,1979,0.0640213028771314
7,1979,0.0222259782308736
4,1979,0.116029735815489
3,1979,0.244377139123005
2,1979,0.212897167160408
1,1979,0.268033266098227
16,1983,0.0384369042698587
13,1983,0.0189195054888098
9,1983,0.046537667031833
8,1983,0.0723008111790564
7,1983,0.0208369474894658
4,1983,0.11080813963198
3,1983,0.228403140504504
2,1983,0.20220034081637
1,1983,0.261556543588123
16,1987,0.0641400679892555
13,1987,0.0487879698335962
9,1987,0.0502234468025568
8,1987,0.0708651668643613
7,1987,0.0192641111262045
4,1987,0.110239581602997
3,1987,0.184169278967117
2,1987,0.195829466251894
1,1987,0.256480910562018
18,1991,0.0138398500005975
16,1991,0.0945538340999805
13,1991,0.0607351315449646
9,1991,0.0283909053873922
8,1991,0.059371174099184
7,1991,0.0189231466831684
4,1991,0.119009661549195
3,1991,0.184906919915279
2,1991,0.179994921925939
1,1991,0.2402744547943
18,1995,0.00941570636457456
16,1995,0.0840012250181831
13,1995,0.0504212615192513
9,1995,0.0299653713397518
8,1995,0.0447713822251767
7,1995,0.0178819169591649
4,1995,0.149004696049973
3,1995,0.217929268482269
2,1995,0.167935650072426
1,1995,0.22867352196923
18,1999,0.00877632629897817
16,1999,0.0395431740765373
13,1999,0.0496639489620315
9,1999,0.0175010854341824
8,1999,0.0357543695298138
7,1999,0.0182775571922084
4,1999,0.225437655579898
3,1999,0.224734632646477
2,1999,0.158537323987798
1,1999,0.221773926292075
18,2003,0.00351277284609787
16,2003,0.0241223262769547
13,2003,0.0743241509739119
9,2003,0.0173092106315102
8,2003,0.0192310828686147
7,2003,0.0227252122294176
4,2003,0.266532085797906
3,2003,0.23322698887245
2,2003,0.143749718484809
1,2003,0.195266451018327
31,2007,0.0142715610446466
18,2007,0.00577793778732299
16,2007,0.019150215245202
13,2007,0.0958612592567066
9,2007,0.0130942058609737
8,2007,0.0220676252693606
7,2007,0.024419999818315
4,2007,0.288968414007527
3,2007,0.195461781353324
2,2007,0.144788710236547
1,2007,0.176138290120075
32,2011,0.0541540103713284
31,2011,0.0538089074146047
18,2011,0.00804760528623803
16,2011,0.0147173368142543
13,2011,0.0843280618250284
9,2011,0.00879463513082636
8,2011,0.0293058084196333
7,2011,0.019973982107537
4,2011,0.265562298833175
3,2011,0.187221778605077
2,2011,0.12304012142854
1,2011,0.151045453763757
