"municipality","GdeName","party","year","support"
1,"Aeugst am Albis",32,2011,0.068346592468
2,"Affoltern am Albis",32,2011,0.065906906495
3,"Bonstetten",32,2011,0.056651919854
4,"Hausen am Albis",32,2011,0.06687189202
5,"Hedingen",32,2011,0.039865898987
6,"Kappel am Albis",32,2011,0.062049433574
7,"Knonau",32,2011,0.063794378698
8,"Maschwanden",32,2011,0.048926165968
9,"Mettmenstetten",32,2011,0.068198082153
10,"Obfelden",32,2011,0.07209860604
11,"Ottenbach",32,2011,0.057932392897
12,"Rifferswil",32,2011,0.038625708488
13,"Stallikon",32,2011,0.078577507285
14,"Wettswil am Albis",32,2011,0.067204570512
21,"Adlikon",32,2011,0.06378208721
22,"Benken (ZH)",32,2011,0.1184447505
23,"Berg am Irchel",32,2011,0.076127518925
24,"Buch am Irchel",32,2011,0.077497129736
25,"Dachsen",32,2011,0.083626636632
26,"Dorf",32,2011,0.057878602085
27,"Feuerthalen",32,2011,0.093344961357
28,"Flaach",32,2011,0.047667921086
29,"Flurlingen",32,2011,0.064203480589
30,"Andelfingen",32,2011,0.064614582946
31,"Henggart",32,2011,0.093250604235
32,"Humlikon",32,2011,0.081138188477
33,"Kleinandelfingen",32,2011,0.10118011952
34,"Laufen-Uhwiesen",32,2011,0.1110935774
35,"Marthalen",32,2011,0.086095700416
36,"Oberstammheim",32,2011,0.068672173591
37,"Ossingen",32,2011,0.11113501883
38,"Rheinau",32,2011,0.055892053973
39,"Thalheim an der Thur",32,2011,0.073854501608
40,"Trüllikon",32,2011,0.1334755111
41,"Truttikon",32,2011,0.091754083123
42,"Unterstammheim",32,2011,0.0449078413
43,"Volken",32,2011,0.11049856184
44,"Waltalingen",32,2011,0.071180383203
51,"Bachenbülach",32,2011,0.094390304848
52,"Bassersdorf",32,2011,0.074002449558
53,"Bülach",32,2011,0.057959130548
54,"Dietlikon",32,2011,0.10282869101
55,"Eglisau",32,2011,0.060269106774
56,"Embrach",32,2011,0.064642171648
57,"Freienstein-Teufen",32,2011,0.06933287951
58,"Glattfelden",32,2011,0.069354496856
59,"Hochfelden",32,2011,0.059078786783
60,"Höri",32,2011,0.0786271809
61,"Hüntwangen",32,2011,0.10280535175
62,"Kloten",32,2011,0.06582427946
63,"Lufingen",32,2011,0.07585174954
64,"Nürensdorf",32,2011,0.073169225067
65,"Oberembrach",32,2011,0.078907225073
66,"Opfikon",32,2011,0.05358668576
67,"Rafz",32,2011,0.074098966647
68,"Rorbas",32,2011,0.04036216345
69,"Wallisellen",32,2011,0.060362324288
70,"Wasterkingen",32,2011,0.048877998452
71,"Wil (ZH)",32,2011,0.073024674245
72,"Winkel",32,2011,0.067906155072
81,"Bachs",32,2011,0.038514129444
82,"Boppelsen",32,2011,0.044445766645
83,"Buchs (ZH)",32,2011,0.057499310433
84,"Dällikon",32,2011,0.054534375952
85,"Dänikon",32,2011,0.072937842666
86,"Dielsdorf",32,2011,0.054524386842
87,"Hüttikon",32,2011,0.030236312931
88,"Neerach",32,2011,0.056386435035
89,"Niederglatt",32,2011,0.04718204968
90,"Niederhasli",32,2011,0.05454144985
91,"Niederweningen",32,2011,0.053764527539
92,"Oberglatt",32,2011,0.042658589747
93,"Oberweningen",32,2011,0.078120890105
94,"Otelfingen",32,2011,0.068197113587
95,"Regensberg",32,2011,0.027557286206
96,"Regensdorf",32,2011,0.053821102378
97,"Rümlang",32,2011,0.046522837257
98,"Schleinikon",32,2011,0.050546297318
99,"Schöfflisdorf",32,2011,0.071690767519
100,"Stadel",32,2011,0.06485795195
101,"Steinmaur",32,2011,0.054992053172
102,"Weiach",32,2011,0.070928981349
111,"Bäretswil",32,2011,0.070173896225
112,"Bubikon",32,2011,0.055085984313
113,"Dürnten",32,2011,0.060606474339
114,"Fischenthal",32,2011,0.059395376408
115,"Gossau (ZH)",32,2011,0.067927870048
116,"Grüningen",32,2011,0.079375848033
117,"Hinwil",32,2011,0.066172479305
118,"Rüti (ZH)",32,2011,0.051794460933
119,"Seegräben",32,2011,0.066694884508
120,"Wald (ZH)",32,2011,0.041803053397
121,"Wetzikon (ZH)",32,2011,0.057254901961
131,"Adliswil",32,2011,0.069702571442
132,"Hirzel",32,2011,0.083769224764
133,"Horgen",32,2011,0.064072380125
134,"Hütten",32,2011,0.064247020585
135,"Kilchberg (ZH)",32,2011,0.055541285261
136,"Langnau am Albis",32,2011,0.057467608789
137,"Oberrieden",32,2011,0.04402124431
138,"Richterswil",32,2011,0.055081316332
139,"Rüschlikon",32,2011,0.059366123009
140,"Schönenberg (ZH)",32,2011,0.083128928407
141,"Thalwil",32,2011,0.056840226585
142,"Wädenswil",32,2011,0.049072779714
151,"Erlenbach (ZH)",32,2011,0.038337474727
152,"Herrliberg",32,2011,0.034050846616
153,"Hombrechtikon",32,2011,0.054542759745
154,"Küsnacht (ZH)",32,2011,0.036506104956
155,"Männedorf",32,2011,0.051591786757
156,"Meilen",32,2011,0.046807162098
